a_value,price_drug,relative_price,EV_total,policy_indicator
0.9,18.559677013631525,25,15.469134386455227,Policy 2
0.9,19.30206409417679,30,15.35649393133295,Policy 2
1.0,10.393419127633653,-30,17.01105084822178,Policy 2
1.0,11.135806208178913,-25,16.84917955596211,Policy 2
1.0,11.878193288724171,-20,16.68943040146449,Policy 2
1.0,12.620580369269437,-15,16.532492386332628,Policy 2
1.0,13.362967449814697,-10,16.37941038775204,Policy 2
1.0,14.105354530359955,-5,16.231203634140837,Policy 2
1.0,14.84774161090522,0,16.088649374310314,Policy 2
1.0,15.59012869145048,5,15.952296321051053,Policy 2
1.0,16.33251577199574,10,15.822167160650912,Policy 2
1.0,17.074902852541005,15,15.697942098492193,Policy 2
1.0,17.817289933086265,20,15.578859664455601,Policy 2
1.0,18.559677013631525,25,15.46416397853709,Policy 2
1.0,19.30206409417679,30,15.35280607560162,Policy 2
0.1,10.393419127633653,-30,17.00588449277295,Policy 3
0.1,11.135806208178913,-25,16.841254393579437,Policy 3
0.1,11.878193288724171,-20,16.67662486363629,Policy 3
0.1,12.620580369269437,-15,16.51199590495895,Policy 3
0.1,13.362967449814697,-10,16.34736751933523,Policy 3
0.1,14.105354530359955,-5,16.182739708321638,Policy 3
0.1,14.84774161090522,0,16.018112473240187,Policy 3
0.1,15.59012869145048,5,15.85348581517566,Policy 3
0.1,16.33251577199574,10,15.688859734973319,Policy 3
0.1,17.074902852541005,15,15.524234233237161,Policy 3
0.1,17.817289933086265,20,15.359609310328663,Policy 3
0.1,18.559677013631525,25,15.194984966365993,Policy 3
0.1,19.30206409417679,30,15.030361201223778,Policy 3
0.2,10.393419127633653,-30,17.004667114138122,Policy 3
0.2,11.135806208178913,-25,16.840038613322,Policy 3
0.2,11.878193288724171,-20,16.675410515026677,Policy 3
0.2,12.620580369269437,-15,16.510782820677278,Policy 3
0.2,13.362967449814697,-10,16.346155531537974,Policy 3
0.2,14.105354530359955,-5,16.181528648709392,Policy 3
0.2,14.84774161090522,0,16.016902173126336,Policy 3
0.2,15.59012869145048,5,15.852276105555854,Policy 3
0.2,16.33251577199574,10,15.687650446595644,Policy 3
0.2,17.074902852541005,15,15.523025196672798,Policy 3
0.2,17.817289933086265,20,15.358400356042912,Policy 3
0.2,18.559677013631525,25,15.193775924789547,Policy 3
0.2,19.30206409417679,30,15.029151902824053,Policy 3
0.3,10.393419127633653,-30,17.004127795385457,Policy 3
0.3,11.135806208178913,-25,16.8395000026768,Policy 3
0.3,11.878193288724171,-20,16.674872538625003,Policy 3
0.3,12.620580369269437,-15,16.510245404393668,Policy 3
0.3,13.362967449814697,-10,16.345618601014994,Policy 3
0.3,14.105354530359955,-5,16.180992129387633,Policy 3
0.3,14.84774161090522,0,16.016365990274853,Policy 3
0.3,15.59012869145048,5,15.851740184302944,Policy 3
0.3,16.33251577199574,10,15.687114711959927,Policy 3
0.3,17.074902852541005,15,15.522489573594514,Policy 3
0.3,17.817289933086265,20,15.357864769415409,Policy 3
0.3,18.559677013631525,25,15.193240299490832,Policy 3
0.3,19.30206409417679,30,15.0286161637484,Policy 3
0.4,10.393419127633653,-30,17.003806297450165,Policy 3
0.4,11.135806208178913,-25,16.839178926857535,Policy 3
0.4,11.878193288724171,-20,16.67455184089009,Policy 3
0.4,12.620580369269437,-15,16.509925040555554,Policy 3
0.4,13.362967449814697,-10,16.34529852674782,Policy 3
0.4,14.105354530359955,-5,16.180672300245153,Policy 3
0.4,14.84774161090522,0,16.016046361708558,Policy 3
0.4,15.59012869145048,5,15.851420711680422,Policy 3
0.4,16.33251577199574,10,15.686795350583381,Policy 3
0.4,17.074902852541005,15,15.522170278719432,Policy 3
0.4,17.817289933086265,20,15.357545496269312,Policy 3
0.4,18.559677013631525,25,15.192921003292106,Policy 3
0.4,19.30206409417679,30,15.028296799725128,Policy 3
0.5,10.393419127633653,-30,17.003586896532287,Policy 3
0.5,11.135806208178913,-25,16.83895981400572,Policy 3
0.5,11.878193288724171,-20,16.674332986055653,Policy 3
0.5,12.620580369269437,-15,16.509706413583427,Policy 3
0.5,13.362967449814697,-10,16.345080097388564,Policy 3
0.5,14.105354530359955,-5,16.180454038167166,Policy 3
0.5,14.84774161090522,0,16.015828236510455,Policy 3
0.5,15.59012869145048,5,15.851202692903554,Policy 3
0.5,16.33251577199574,10,15.68657740772448,Policy 3
0.5,17.074902852541005,15,15.521952381243347,Policy 3
0.5,17.817289933086265,20,15.357327613621813,Policy 3
0.5,18.559677013631525,25,15.192703104912724,Policy 3
0.5,19.30206409417679,30,15.028078855060011,Policy 3
0.6,10.393419127633653,-30,17.003424941502935,Policy 3
0.6,11.135806208178913,-25,16.838798071617898,Policy 3
0.6,11.878193288724171,-20,16.67417143412835,Policy 3
0.6,12.620580369269437,-15,16.509545029857094,Policy 3
0.6,13.362967449814697,-10,16.344918859533994,Policy 3
0.6,14.105354530359955,-5,16.1802929237945,Policy 3
0.6,14.84774161090522,0,16.01566722317832,Policy 3
0.6,15.59012869145048,5,15.851041758128307,Policy 3
0.6,16.33251577199574,10,15.686416528989549,Policy 3
0.6,17.074902852541005,15,15.52179153600862,Policy 3
0.6,17.817289933086265,20,15.357166779333092,Policy 3
0.6,18.559677013631525,25,15.19254225901121,Policy 3
0.6,19.30206409417679,30,15.027917974991787,Policy 3
0.7000000000000001,10.393419127633653,-30,17.00329907012735,Policy 3
0.7000000000000001,11.135806208178913,-25,16.838672365507218,Policy 3
0.7000000000000001,11.878193288724171,-20,16.6740458760435,Policy 3
0.7000000000000001,12.620580369269437,-15,16.509419602497964,Policy 3
0.7000000000000001,13.362967449814697,-10,16.34479354554633,Policy 3
0.7000000000000001,14.105354530359955,-5,16.180167705776913,Policy 3
0.7000000000000001,14.84774161090522,0,16.01554208368939,Policy 3
0.7000000000000001,15.59012869145048,5,15.850916679693759,Policy 3
0.7000000000000001,16.33251577199574,10,15.686291494109506,Policy 3
0.7000000000000001,17.074902852541005,15,15.521666527164921,Policy 3
0.7000000000000001,17.817289933086265,20,15.357041778996624,Policy 3
0.7000000000000001,18.559677013631525,25,15.192417249649285,Policy 3
0.7000000000000001,19.30206409417679,30,15.02779293907551,Policy 3
0.8,10.393419127633653,-30,17.003197608132748,Policy 3
0.8,11.135806208178913,-25,16.838571036728815,Policy 3
0.8,11.878193288724171,-20,16.673944666585285,Policy 3
0.8,12.620580369269437,-15,16.509318498414714,Policy 3
0.8,13.362967449814697,-10,16.34469253284919,Policy 3
0.8,14.105354530359955,-5,16.18006677043903,Policy 3
0.8,14.84774161090522,0,16.01544121165163,Policy 3
0.8,15.59012869145048,5,15.850815856870518,Policy 3
0.8,16.33251577199574,10,15.686190706394544,Policy 3
0.8,17.074902852541005,15,15.52156576043725,Policy 3
0.8,17.817289933086265,20,15.356941019126436,Policy 3
0.8,18.559677013631525,25,15.192316482503884,Policy 3
0.8,19.30206409417679,30,15.027692150525265,Policy 3
0.9,10.393419127633653,-30,17.003113565675903,Policy 3
0.9,11.135806208178913,-25,16.838487104616902,Policy 3
0.9,11.878193288724171,-20,16.673860833308026,Policy 3
0.9,12.620580369269437,-15,16.509234752421087,Policy 3
0.9,13.362967449814697,-10,16.344608862552015,Policy 3
0.9,14.105354530359955,-5,16.179983164219657,Policy 3
0.9,14.84774161090522,0,16.01535765786468,Policy 3
0.9,15.59012869145048,5,15.850732343848676,Policy 3
0.9,16.33251577199574,10,15.686107222453403,Policy 3
0.9,17.074902852541005,15,15.521482293880188,Policy 3
0.9,17.817289933086265,20,15.356857558249528,Policy 3
0.9,18.559677013631525,25,15.192233015600811,Policy 3
0.9,19.30206409417679,30,15.027608665892245,Policy 3
1.0,10.393419127633653,-30,17.00304246825592,Policy 3
1.0,11.135806208178913,-25,16.838416100545455,Policy 3
1.0,11.878193288724171,-20,16.67378991284776,Policy 3
1.0,12.620580369269437,-15,16.509163905800175,Policy 3
1.0,13.362967449814697,-10,16.344538079968054,Policy 3
1.0,14.105354530359955,-5,16.17991243584361,Policy 3
1.0,14.84774161090522,0,16.015286973844905,Policy 3
1.0,15.59012869145048,5,15.850661694314969,Policy 3
1.0,16.33251577199574,10,15.686036597521104,Policy 3
1.0,17.074902852541005,15,15.521411683654307,Policy 3
1.0,17.817289933086265,20,15.356786952828886,Policy 3
1.0,18.559677013631525,25,15.192162405082213,Policy 3
1.0,19.30206409417679,30,15.027538040374637,Policy 3
0.1,10.393419127633653,-30,15.905117772562312,Policy 4
0.1,11.135806208178913,-25,15.905117772562312,Policy 4
0.1,11.878193288724171,-20,15.905117772562312,Policy 4
0.1,12.620580369269437,-15,15.905117772562312,Policy 4
0.1,13.362967449814697,-10,15.905117772562312,Policy 4
0.1,14.105354530359955,-5,15.905117772562312,Policy 4
0.1,14.84774161090522,0,15.905117772562312,Policy 4
0.1,15.59012869145048,5,15.905117772562312,Policy 4
0.1,16.33251577199574,10,15.905117772562312,Policy 4
0.1,17.074902852541005,15,15.905117772562312,Policy 4
0.1,17.817289933086265,20,15.905117772562312,Policy 4
0.1,18.559677013631525,25,15.905117772562312,Policy 4
0.1,19.30206409417679,30,15.905117772562312,Policy 4
0.2,10.393419127633653,-30,15.905117772562312,Policy 4
0.2,11.135806208178913,-25,15.905117772562312,Policy 4
0.2,11.878193288724171,-20,15.905117772562312,Policy 4
0.2,12.620580369269437,-15,15.905117772562312,Policy 4
0.2,13.362967449814697,-10,15.905117772562312,Policy 4
0.2,14.105354530359955,-5,15.905117772562312,Policy 4
0.2,14.84774161090522,0,15.905117772562312,Policy 4
0.2,15.59012869145048,5,15.905117772562312,Policy 4
0.2,16.33251577199574,10,15.905117772562312,Policy 4
0.2,17.074902852541005,15,15.905117772562312,Policy 4
0.2,17.817289933086265,20,15.905117772562312,Policy 4
0.2,18.559677013631525,25,15.905117772562312,Policy 4
0.2,19.30206409417679,30,15.905117772562312,Policy 4
0.3,10.393419127633653,-30,15.905117772562312,Policy 4
0.3,11.135806208178913,-25,15.905117772562312,Policy 4
0.3,11.878193288724171,-20,15.905117772562312,Policy 4
0.3,12.620580369269437,-15,15.905117772562312,Policy 4
0.3,13.362967449814697,-10,15.905117772562312,Policy 4
0.3,14.105354530359955,-5,15.905117772562312,Policy 4
0.3,14.84774161090522,0,15.905117772562312,Policy 4
0.3,15.59012869145048,5,15.905117772562312,Policy 4
0.3,16.33251577199574,10,15.905117772562312,Policy 4
0.3,17.074902852541005,15,15.905117772562312,Policy 4
0.3,17.817289933086265,20,15.905117772562312,Policy 4
0.3,18.559677013631525,25,15.905117772562312,Policy 4
0.3,19.30206409417679,30,15.905117772562312,Policy 4
0.4,10.393419127633653,-30,15.905117772562312,Policy 4
0.4,11.135806208178913,-25,15.905117772562312,Policy 4
0.4,11.878193288724171,-20,15.905117772562312,Policy 4
0.4,12.620580369269437,-15,15.905117772562312,Policy 4
0.4,13.362967449814697,-10,15.905117772562312,Policy 4
0.4,14.105354530359955,-5,15.905117772562312,Policy 4
0.4,14.84774161090522,0,15.905117772562312,Policy 4
0.4,15.59012869145048,5,15.905117772562312,Policy 4
0.4,16.33251577199574,10,15.905117772562312,Policy 4
0.4,17.074902852541005,15,15.905117772562312,Policy 4
0.4,17.817289933086265,20,15.905117772562312,Policy 4
0.4,18.559677013631525,25,15.905117772562312,Policy 4
0.4,19.30206409417679,30,15.905117772562312,Policy 4
0.5,10.393419127633653,-30,15.905117772562312,Policy 4
0.5,11.135806208178913,-25,15.905117772562312,Policy 4
0.5,11.878193288724171,-20,15.905117772562312,Policy 4
0.5,12.620580369269437,-15,15.905117772562312,Policy 4
0.5,13.362967449814697,-10,15.905117772562312,Policy 4
0.5,14.105354530359955,-5,15.905117772562312,Policy 4
0.5,14.84774161090522,0,15.905117772562312,Policy 4
0.5,15.59012869145048,5,15.905117772562312,Policy 4
0.5,16.33251577199574,10,15.905117772562312,Policy 4
0.5,17.074902852541005,15,15.905117772562312,Policy 4
0.5,17.817289933086265,20,15.905117772562312,Policy 4
0.5,18.559677013631525,25,15.905117772562312,Policy 4
0.5,19.30206409417679,30,15.905117772562312,Policy 4
0.6,10.393419127633653,-30,15.905117772562312,Policy 4
0.6,11.135806208178913,-25,15.905117772562312,Policy 4
0.6,11.878193288724171,-20,15.905117772562312,Policy 4
0.6,12.620580369269437,-15,15.905117772562312,Policy 4
0.6,13.362967449814697,-10,15.905117772562312,Policy 4
0.6,14.105354530359955,-5,15.905117772562312,Policy 4
0.6,14.84774161090522,0,15.905117772562312,Policy 4
0.6,15.59012869145048,5,15.905117772562312,Policy 4
0.6,16.33251577199574,10,15.905117772562312,Policy 4
0.6,17.074902852541005,15,15.905117772562312,Policy 4
0.6,17.817289933086265,20,15.905117772562312,Policy 4
0.6,18.559677013631525,25,15.905117772562312,Policy 4
0.6,19.30206409417679,30,15.905117772562312,Policy 4
0.7000000000000001,10.393419127633653,-30,15.905117772562312,Policy 4
0.7000000000000001,11.135806208178913,-25,15.905117772562312,Policy 4
0.7000000000000001,11.878193288724171,-20,15.905117772562312,Policy 4
0.7000000000000001,12.620580369269437,-15,15.905117772562312,Policy 4
0.7000000000000001,13.362967449814697,-10,15.905117772562312,Policy 4
0.7000000000000001,14.105354530359955,-5,15.905117772562312,Policy 4
0.7000000000000001,14.84774161090522,0,15.905117772562312,Policy 4
0.7000000000000001,15.59012869145048,5,15.905117772562312,Policy 4
0.7000000000000001,16.33251577199574,10,15.905117772562312,Policy 4
0.7000000000000001,17.074902852541005,15,15.905117772562312,Policy 4
